prolificID,experiment_id,condition,gender,age,blame_prescriptive,praise_prescriptive
6643bfad2faae33b46607cca,ew5WPg,3,Female,27,0,0
6630f3a08ebbc63672ca4f4b,ew5WPg,3,Female,30,-1,1
5efcbbfdbb84120af959862e,ew5WPg,4,Female,41,-1,1
66482b4e780350f79db0ad74,ew5WPg,4,Male,34,-3,2
62bb4c95ca36f792585cb4b5,ew5WPg,4,Female,22,1,1
66aed2ef43f3e360354b4f26,ew5WPg,1,Female,32,-3,3
6633aec80d966976ccf67fdb,ew5WPg,2,Female,50,2,3
66c00d6933d85e9bfd14b763,ea8FMd,2,Male,28,-2,-2
668ac7c35253fe2c98f8411a,ea8FMd,4,Male,53,-2,2
62b49c65c45131879b8438d3,ew5WPg,4,Female,31,0,0
5f60d14a4b540f04a9473cb7,ew5WPg,1,Female,29,2,2
66466d13491123779058dc63,ew5WPg,2,Female,28,2,3
66a2cc1f9cfededd6fef1b6c,ea8FMd,1,Male,38,-1,2
601a67866e12e328676f82da,ew5WPg,1,Male,25,1,-1
66043087e6f547531945bb3f,ew5WPg,1,Female,29,3,3
66b0e8f364c62ba40bb6c4aa,ea8FMd,1,Female,32,-1,1
606799ee27d39e784b1e5eb6,ew5WPg,2,Female,35,-1,1
65b114038111be8590d8e184,ew5WPg,3,Female,36,-3,1
66463a176d751e3c9c34e12f,ew5WPg,3,Female,28,2,1
6660e87571cd35e3fdd8a0f9,ea8FMd,2,Male,37,-3,3
612e7ef85edba8d26ef96c99,ew5WPg,3,Female,29,0,0
6361946867aaa026320f144f,ew5WPg,4,Male,36,-1,3
65551cd9b1388ca0f142b5d2,ew5WPg,4,Female,32,1,2
5e75e72994cff213dec19e5a,ew5WPg,3,Female,23,-3,0
66c5f1061f13695feb52a8e2,ea8FMd,1,Female,67,1,2
5e84c0f1fde515083afe38e6,ea8FMd,2,Female,63,2,3
66677f2413cf52589fdc2faa,ew5WPg,4,Male,28,-1,1
6414e37c9be05ee00c65a893,ea8FMd,3,Male,44,1,1
66b2f097964693de437d23e1,ea8FMd,4,Female,46,-2,2
66a167fe7f04e2900e6729bf,ew5WPg,4,Female,47,1,1
5484739ffdf99b0379939c95,ew5WPg,2,Female,35,0,3
66957f3f3e08d91beb83f5ac,ew5WPg,3,Female,54,-3,2
610421096c1af729ade5aac1,ew5WPg,1,Female,25,2,2
66568e65d6c28172319a8d9f,ew5WPg,4,Female,59,2,3
65ccf0ceb42202f1d53bedb7,ea8FMd,3,Female,52,-1,3
5af9fab60a7ecb00011820b8,ew5WPg,3,Female,31,1,2
5a8891155292b800012316a8,ew5WPg,2,Other,27,3,3
5ea92954ef7ece00096faf5a,ew5WPg,2,Female,28,2,3
664f934b501266e8401ada48,ea8FMd,4,Male,32,-3,3
636147ee17c4df2ebf189cf5,ew5WPg,3,Male,25,1,3
61119010fe205e4436dce3d6,ea8FMd,4,Female,29,0,3
66c3a52b57c3ba184dbad1d3,ew5WPg,3,Female,30,-2,2
65dbb6365a0037bb34ae9956,ew5WPg,4,Female,40,-1,2
65cbc27063ac644fa7970aaa,ew5WPg,2,Female,41,2,1
6536a4b24fb3123f0cbf6193,ew5WPg,2,Male,41,2,2
5d85150104ad7f00180935d1,ew5WPg,3,Female,37,-1,2
614e180e8241d5976dcf192a,ew5WPg,2,Male,42,2,3
665f909eb459e46c082a88ce,ew5WPg,2,Female,63,0,0
663bf0e70019e5f00dfb6e32,ea8FMd,1,Female,37,1,2
6671d8bf6e4bc111961295a1,ew5WPg,2,Female,45,3,3
66510a0d8ae2bdbdf89d24cf,ea8FMd,3,Female,38,-1,1
605c374116ce522e9693d862,ea8FMd,4,Female,23,-2,2
63fc2fe5b86a67a5559d9186,ew5WPg,1,Female,30,-2,3
62a39ad98ce3882e11e54d8f,ea8FMd,2,Female,26,3,3
6583097b8afa05d4632882f9,ea8FMd,1,Female,66,3,3
